prefix,device_type,device_id,device_longitude,device_latitude,device_elevation,device_radius,device_hide,device_draw_battery,device_sensor_unit_radius,device_gps_file_name,device_script_file_name,natural_event_file_name
device,1,1,-71.04346338017669,42.31591770553475,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,2,-71.04170187433488,42.31744334302586,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,3,-71.04422728299303,42.31700811318851,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,4,-71.04095373863255,42.316202205284206,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,5,-71.04075025107453,42.31677877149757,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,6,-71.0441662963573,42.318302185240135,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,7,-71.04072032553609,42.31751657492531,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,8,-71.04130334028955,42.31642795894818,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,9,-71.04207735898818,42.31792743082222,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,10,-71.0405683378567,42.31651707325873,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,11,-71.04058697696033,42.31867855993871,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,12,-71.04195778446604,42.31566108210332,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,13,-71.04181318576106,42.31701438439278,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,14,-71.04408244007115,42.317454237977834,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,15,-71.04077478813124,42.31515334392419,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,16,-71.04220642881415,42.31630843345878,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,17,-71.04361030495392,42.31915650539536,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,18,-71.04364067689363,42.31713272783898,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,19,-71.04120556611757,42.31766322827209,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,20,-71.0412684157945,42.31607095879142,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,21,-71.04122832058157,42.31762991552223,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,22,-71.04131168459055,42.316871566956195,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,23,-71.04336066635393,42.318819051590054,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,24,-71.04223845193864,42.31645875376607,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,25,-71.04277387188483,42.31908342220505,0,0,1,false,100,,SensorWithRouterFunction.csc,
device,1,26,-71.04353693517272,42.31875486363649,0,0,1,false,20,,Router.csc,
device,1,27,-71.04123419167534,42.3159993253582,0,0,1,false,20,,Router.csc,
device,1,28,-71.04420467971634,42.315656702752456,0,0,1,false,20,,Router.csc,
device,1,29,-71.04273064938234,42.31598475782717,0,0,1,false,20,,Router.csc,
device,1,30,-71.04302674330044,42.31571232041167,0,0,1,false,20,,Router.csc,
device,1,31,-71.0407168767062,42.31742416692672,0,0,1,false,20,,Router.csc,
device,1,32,-71.04343878326561,42.318225181057024,0,0,1,false,20,,Router.csc,
device,1,33,-71.04285749515451,42.31671684280797,0,0,1,false,20,,Router.csc,
device,1,34,-71.04267556966406,42.31563515799789,0,0,1,false,20,,Router.csc,
device,1,35,-71.04131498754234,42.31907321874567,0,0,1,false,20,,Router.csc,
device,1,36,-71.04349946889711,42.31596330747177,0,0,1,false,20,,Router.csc,
